Trip_Distance_km,Trip_Duration_Minutes,Time_of_Day,Passenger_Count,Trip_Price
43.23,96.01,Morning,2.0,70.8329
47.36,71.86,Evening,1.0,102.885
19.29,94.79,Evening,3.0,48.2843
2.24,13.69,Evening,3.0,8.6709
8.65,33.37,Afternoon,3.0,16.1592
33.29,52.09,Afternoon,3.0,50.996100000000006
2.33,105.78,Morning,2.0,43.0228
11.88,39.27,Afternoon,2.0,22.7573
12.32,6.37,Afternoon,3.0,19.9427
1.97,71.48,Afternoon,1.0,32.428200000000004
6.1,48.23,Evening,3.0,32.1352
40.2,66.51,Morning,3.0,78.18800000000002
9.75,105.81,Afternoon,1.0,45.2855
32.98,109.94,Morning,3.0,78.64779999999999
12.67,35.59,Morning,1.0,37.2489
42.93,119.84,Afternoon,2.0,43.19980000000001
20.46,88.6,Morning,2.0,65.232
11.04,5.93,Evening,2.0,11.596999999999998
15.36,6.06,Afternoon,1.0,16.9168
44.92,57.97,Morning,2.0,101.8744
1.64,61.16,Afternoon,3.0,32.7396
11.19,84.0,Afternoon,3.0,35.964
2.3,38.81,Morning,1.0,26.4327
9.89,69.39,Evening,2.0,38.95910000000001
29.57,39.61,Afternoon,3.0,50.117900000000006
21.65,24.22,Evening,3.0,31.6941
44.74,51.82,Morning,2.0,51.1318
41.05,31.71,Night,2.0,67.736
13.71,27.87,Afternoon,3.0,22.3206
19.6,63.47,Morning,3.0,48.127500000000005
31.58,91.7,Night,1.0,54.3684
21.06,17.7,Afternoon,3.0,44.7904
28.05,58.8,Afternoon,1.0,45.9215
22.37,13.15,Evening,3.0,34.376400000000004
15.43,73.79,Evening,3.0,48.2267
47.47,35.41,Afternoon,1.0,52.9872
38.42,65.68,Afternoon,1.0,54.76660000000001
7.87,64.51,Afternoon,2.0,26.1975
24.88,68.14,Morning,2.0,55.3432
44.83,72.04,Afternoon,3.0,64.7223
40.19,51.19,Afternoon,1.0,52.9218
2.1,94.38,Morning,3.0,25.4386
27.54,102.08,Afternoon,1.0,80.7576
32.04,54.73,Afternoon,3.0,62.9006
41.91,26.72,Afternoon,2.0,63.7777
49.24,85.63,Afternoon,2.0,54.67150000000001
26.76,38.42,Afternoon,2.0,42.398
9.41,39.21,Afternoon,3.0,28.1281
14.34,61.57,Evening,1.0,38.035
1.9,88.44,Morning,1.0,29.9812
6.77,5.1,Afternoon,2.0,10.4444
25.87,87.25,Morning,2.0,47.33
28.15,17.02,Afternoon,2.0,22.2951
25.87,48.69,Evening,1.0,76.48649999999999
11.11,59.73,Evening,3.0,25.1652
1.54,10.13,Afternoon,3.0,9.8718
7.71,116.62,Afternoon,3.0,53.726
45.1,87.35,Morning,3.0,81.572
30.43,56.58,Morning,2.0,65.0136
9.59,21.83,Afternoon,2.0,20.2164
45.81,26.73,Evening,2.0,75.03649999999999
21.52,103.83,Night,3.0,93.5096
3.3,105.2,Afternoon,2.0,33.183
9.15,81.26,Afternoon,2.0,48.8108
37.16,44.3,Evening,1.0,46.3014
5.06,83.63,Morning,1.0,49.11559999999999
25.87,7.26,Afternoon,2.0,39.4771
13.02,89.6,Evening,1.0,48.0134
20.08,61.57,Afternoon,1.0,49.5082
15.15,98.52,Afternoon,2.0,69.749
18.43,114.78,Afternoon,2.0,45.03040000000001
15.56,109.57,Afternoon,2.0,59.2055
28.75,63.9,Afternoon,2.0,59.68299999999999
24.33,46.42,Morning,3.0,33.7362
11.53,61.57,Afternoon,3.0,24.4491
2.53,110.59,Morning,2.0,56.688500000000005
3.52,106.23,Afternoon,2.0,42.4232
30.25,17.18,Evening,2.0,46.0189
17.38,17.91,Morning,2.0,23.1248
38.77,38.49,Evening,1.0,38.6747
25.28,76.73,Morning,3.0,73.3549
22.31,26.43,Afternoon,2.0,54.6247
13.07,16.47,Afternoon,2.0,24.6973
41.14,46.78,Evening,3.0,82.44200000000001
40.17,62.66,Evening,3.0,56.6394
14.34,45.07,Afternoon,1.0,30.7837
25.87,25.61,Morning,3.0,55.3348
18.69,79.41,Evening,3.0,51.8548
7.7,54.18,Morning,3.0,33.1236
47.56,114.94,Morning,1.0,61.209
22.85,29.69,Morning,3.0,45.44370000000001
